Title,Details
The Best Jewelry from Amazon's Luxury Stores,"Usually, when Phoebe Bridgers talks about the moon, she's singing to a group of crying fans (I am, admittedly, one of them) who are mouthing the words to her ""Moon Song."" But last week, she could be found talking about astronomy in a not-heart-wrenching context—while wearing Chanel jewelry inspired by the stars. Standing underneath a crescent moon on a stage in Los Angeles, she introduced the Yeah Yeah Yeahs, who were performing for Chanel’s guests at a dinner celebrating the launch of the 1932 jewelry collection, which is the second one ever released by the brand. The crowd cheered, but the 18-karat Coco Crush earrings and bracelet adorning Bridgers’s earlobes and wrist were beautiful enough that they could have elicited tears (of jealousy). Phoebe Bridgers at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinIt has been 90 years since Gabrielle Chanel designed Bijoux de Diamants, the first high jewelry collection in history. It was created three years after Black Thursday pushed the world into the Great Depression, and Chanel was determined to create something that could shine through the turmoil. The 50-piece collection was made of white and yellow diamonds set in platinum and yellow gold, with 22 pieces inspired by specific constellations. “Nothing could be better for forgetting the crisis than feasting one’s eyes on beautiful new things,” she said of the collection. And so it feels fitting that in 2022, nearly three years after the entire world stood still for the pandemic, the fashion house she built would respond to our somber times with something just as sumptuous.More From Harper's BAZAARThe Yeah Yeah Yeahs performing at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinLike the original Bijoux de Diamants collection, the design of 1932 is harmonized around three symbols: the comet, the moon, and the sun. Chanel muses like Marion Cotillard, Lori Harvey, Greta Lee, and Whitney Peak were in attendance at the West Hollywood celebration, and, like Bridgers, were also layered in pieces from the 1932 collection named after the cosmos. Maggie Rogers at the Chanel dinner to celebrate the 1932 high jewelry collection. Pat MartinSinger Maggie Rogers, who also recently graduated from Harvard’s Divinity School, wore five rings from the collection but said the shooting star Comète ear cuff in 18-karat gold was her favorite. On the Chanel black carpet, Rogers mentioned how she felt a kinship with Gabrielle over her affinity for outer space: “[The cosmos] is something that has always resonated with me and is very apparent and present in my musical work.” Gossip Girl’s Whitney Peak said the collection made her feel like a “superstar” before joking, “I feel like I shouldn’t be wearing it. I don’t know how they let me get away with this!” and then grasping the 1932 Comète Couture necklace in 18-karat gold and diamonds around her neck. Whitney Peak at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinWhile there are 77 pieces in the collection, its signature piece is the Allure Céleste necklace, with round-cut diamonds, an oval sapphire of deep blue, and a weight of 55.5 carats. What makes it extraordinary is its ability to transform: The halos detach to become brooches, and the central row of diamonds becomes a bracelet, converting the necklace into a shorter version. Thirteen other pieces from the 1932 collection also have the ability to transform in a similar manner, allowing the wearer to make new diamond constellations around their wrists and necks.Guests dining at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinMany of the pieces were made without clasps, something Gabrielle Chanel openly disliked. “I detest clasps! I’ve done away with clasps! Yet my jewelry is transformable,” she said in an interview in 1932 after the “Bijoux de Diamants” exhibition. She strived to design pieces that offered flexibility to busy women with full lives, and that didn’t impede their freedom. And as the jewelry-spangled guests left their cares behind to dance under a canopy of baby’s breath, it was evident that the new 1932 collection stays true to her vision.Tara GonzalezTara Gonzalez is the Senior Fashion Editor at Harper’s Bazaar. Previously, she was the style writer at InStyle, founding commerce editor at Glamour, and fashion editor at Coveteur."
Chanel Just Unveiled Its Most Opulent Jewelry in 90 Years,"Prada has never done things by the book. The brand has been creating the world's most desirable fashion pieces since their start over one hundred years ago, going from making humble leather goods to being one of the biggest privately owned brands in the world. Now, the brand is expanding on their aesthetic universe with a daring introduction into fine jewelry. The inaugural collection, titled ETERNAL GOLD, marks both a commitment to beauty and to sustainable, circular fashion.Maya Hawke for ETERNAL GOLDDavid SimsAs Prada's first-ever fine jewelry offering, ETERNAL GOLD is a first in many aspects. It's also the world's first fine jewelry collection made entirely with recycled gold, collected using the industry's most rigorous standards set by the Responsible Jewelry Council. Prada is also the first company to expand on diamond traceability, making every single carat count traceable down to its origins. The complete transparency of every material used in their jewelry, from sourcing to cutting to setting, is a radical step in the direction of honest production for an otherwise murky process. Somi Jeon for ETERNAL GOLDDavid SimsThe jewelry is a reflection of Prada's impact on the industry and a continuation of their efforts to creating beautiful objects that stands the test of time, as all fine jewelry should. ETERNAL GOLD is rife with Pradaisms, with the instantly recognizable Prada triangle rendered as sleek earrings and pendants, but also imbued in clasp closures, and more subtly, in chain links and as the head and tail of the snake bracelet.  The snake bracelet itself may at first recall other serpent bracelets, but finds its own voice with the sneaky Prada triangle and smooth, unvarnished gold. Heart pendants take on an edgy effect with the triangle chainlink it sits on.More From Harper's BAZAARCourtesyCourtesyPrada chose three voices of our time to don this foundational collection, representing where Prada is now and where it can go. Amanda Gorman, award-winning poet and activist, Maya Hawke, singer/songwriter, actress, and model, and Somi Jeon, musician, become one with the gold, immortalized in gold negative renderings by David Sims. The jewelry and its campaign represent the future of a wholly responsible planet that isn't sacrificing purity and beauty at its demise. The act of both looking good and doing good is something all brands should aim toward.From: ELLE USKevin LeBlancKevin LeBlanc is the Fashion Associate at ELLE Magazine. He covers fashion news, trends, and anything to do with Robyn Rihanna Fenty."
"13 Fall 2022 Trends Worth Shopping, According to Fashion Insiders","If looking stylish in sneakers and your boyfriend's button-down is a skill set, Kaia Gerber is the master.Yesterday, the model was seen walking around Los Angeles looking comfortable in an effortlessly cool ensemble that brought to mind the now-viral coastal grandmother trend. The outfit consisted of an oversized striped gray button-down, a cropped white tank top, and loose-fitting black trousers. She finished the look with the black Adidas sneakers every model seems to be wearing, a green handbag, and brown oval sunglasses.Gerber wore no makeup and kept her straight her down for the outing.BACKGRIDWhen she's not looking glamorous on the Cannes Film Festival red carpet with boyfriend Austin Butler, Gerber is showing off her relaxed model-off-duty style on low-key dates.For a screening of Elvis in New York City this June, Gerber looked casual but chic in a navy top, black miniskirt, and matching leather blazer. She finished the look with a pair of high socks and white sneakers, and accessorized with her green shoulder bag and black Ray-Ban sunglasses. And on a lunch date with Butler this August, the model wore an open cobalt blue button-down over a cropped tank in the same hue, relaxed black trousers, and her go-to black Adidas sneakers. She accessorized with the same oval sunglasses and green handbag she carried yesterday, along with diamond stud earrings.This week, the stylish star released her own collection of wardrobe essentials with Zara (available to shop since October 4). The drop includes more than 30 pieces, including leather trenches, white tanks, and slouchy trousers—very on brand for Gerber.Now, the model is also stepping into acting. Earlier this year, she announced she landed a part in the Apple TV+ series Mrs. American Pie, which is set to be released later this year.  Rosa SanchezRosa Sanchez is the senior news editor at Harper's Bazaar, working on news as it relates to entertainment, fashion, and culture. Previously, she was a news editor at ABC News and, prior to that, a managing editor of celebrity news at American Media. She has also written features for Rolling Stone, Teen Vogue, Forbes, and The Hollywood Reporter, among other outlets."
Prada Makes Fine Jewelry History with Eternal Gold Collection,"Is any woman as synonymous with another creature as Mariah Carey is with a butterfly?This week, the singer celebrated the 30th anniversary of the release of her groundbreaking album Butterfly, and now she celebrates the arrival of her collaboration with the jeweler Chopard, which launches in stores and online today, September 16. The pieces, a mix of butterflies rendered in diamonds on rings, bracelets, earrings, and a breathtaking statement necklace, commemorate Carey’s  longtime affinity for the creature who helped her conceptualize her life as an independent artist at the top of a male-dominated music industry. She describes the process of seeing and wearing the pieces, while simultaneously celebrating “my favorite album that I’ve done,” as an emotional experience. “It’s a major moment, and it’s a full circle moment,” she says. Here she tells us about conceptualizing the collection, her daily jewelry wardrobe, and how she will wear the pieces.Harper’s Bazaar: I want to start by talking about this incredible butterfly necklace. Mariah Carey: Oh my gosh.HB: The butterfly, of course, is this incredibly significant symbol of transformation for you. But seeing the butterfly rendered in diamonds reminded me of how dazzling they are. They’re the most beautiful living creatures. And I wondered if you learned anything about the butterfly, seeing it rendered in diamonds. The enduring symbol of the butterfly—I mean, we can go on and on about different people's interpretations and feelings. My own personal feelings are so very specific to my album Butterfly and that period of my life, which we are celebrating the anniversary of this year, [coincidentally] at the same time that this is all happening, right? Because we've been working on this [with Chopard] for two years together, and it happened by accident [that] we’re re-releasing the Butterfly album, which is my favorite album that I’ve done.And yes, I have a very specific relationship with the butterfly and just the whole metamorphosis of it. The way that I had to come through a very difficult time in my life and, you know, like they say, you’ve gotta go through something to get something. I had to get to that place where I felt empowered enough to metaphorically fly and be free from that place where I was. I started out in this industry as such a young girl in a really difficult world, dominated by men. I wrote this song as I was leaving this mansion that I had paid for half of, and [where] I had sort of created my own little prison, not really deliberately, but it ended up feeling that way. And I was leaving and I wrote the lyrics and the melody to [the song “Butterfly”]: Spread your wings and prepare to fly / for you have become a butterfly. And so that’s always stuck with me. I’ve made many albums since then, but it’s just very specific to me. So to see this magnificent butterfly necklace, and the ring—I mean, it was so much to even be able to say, I collaborated on this. To be able to admire the craft—I don’t want to say “craftsmanship.” Please give me another word.HB: The creation, the artistry?The artistry! That’s what it is. Just to be able to collaborate with Chopard and doing this collection is a humongous honor. I’m just here, ready to put some diamonds on and hang out. Whatever! Courtesy of Chopard.HB: What is your daily jewelry wardrobe? Are we wearing the butterfly ring every day and the necklace for special occasions? Or is there a different routine here?I am not really one for routines of any sort. I’m not a dancer. I don’t really like to follow rules. So I would wear any piece on any occasion. But right now i’m wearing a bracelet that my daughter made for me that says “Lamily” on it, which is an homage to my fans made of little beads and elastic, with some diamond bracelets. I would wear any piece from the collection in a casual moment, or more specifically the Happy Butterfly collection, which I love so much. I think they’re gonna look gorgeous stacked with even just a T-shirt and jeans, leggings, a simple dress. There’s just really great pieces that are attainable, as well as those gorgeous—I don’t find them over the top, some might say they are; they’re major—pieces that I live for.They are really major. And they feel so you. I can see you wearing this incredible butterfly necklace with a T-shirt, or these enormous leaf earrings.I would do that! I’m so ready to wear those. When Caroline [Scheufele, the president of Chopard] was evolving and creating them, she was explaining them to me and I knew exactly what she meant, but when I saw them, I was losing it. I mean, they’re just sick. It’s beyond. They’re so good. [Laughs.]Sounds like you and Caroline had good chemistry.I feel like Caroline probably has incredible chemistry with anyone cuz she’s so fun and carefree. I love that about her. She’s also an artist and a businesswoman, and to work with her to make this collection together, [it feels] even more extra special because it was my idea and I was able to watch it happen.Courtesy of Chopard.Would you say it’s true that diamonds are a girl’s best friend?Well, considering the people I know, for sure. Maybe the exception of one or two. You know, at the end of the day, they’re not going to steer you wrong! Do you feel like jewelry plays an important part in your life spiritually? It can be armor, but it also reflects the essential feminine aspects of who you are.That’s interesting. I’ve never thought of it that way. There were little things, little pieces that I’ve had throughout my life, where they did have their own—I wouldn’t say spiritual, but they had a sort of special significance to me where I would keep them on no matter what. Swimming, whatever I was doing, I would keep them on. Because they were that special to me. And at one point I lost a piece of jewelry that I loved so much, and it wasn’t even that it was a major thing. It just meant something to me. But with this collection, everything means so much to me that I’m just excited to share it with the world. Courtesy of Chopard.Rachel TashjianRachel Tashjian is the Fashion News Director at Harper’s Bazaar, working across print and digital platforms. Previously, she was GQ’s first fashion critic, and worked as deputy editor of GARAGE and as a writer at Vanity Fair. She has written for publications including Bookforum and Artforum, and is the creator of the invitation-only newsletter Opulent Tips."
Kaia Gerber Puts a Model-Off-Duty Spin on the Coastal Grandmother Trend,"Katie Holmes's classic street style has set its sights on the pants trend du jour: low-rise jeans. Yesterday, the Dawson's Creek alum was spotted out and about in New York City running errands while wearing an effortlessly stylish look. Her breezy, late-summer ensemble consisted of a blush pink spaghetti-strap cami tucked into a pair of baggy low-rise jeans in a light wash. She continued the minimalist approach with the rest of her outfit, wearing olive green flip-flops and carrying a maroon shoulder bag from A.P.C., eschewing jewelry entirely.BACKGRIDBaggy pants have made cameos in Holmes's street style before.Earlier this month, she made a cozy appearance in the city, accompanied by boyfriend Bobby Wooten III, while wearing an oversized slouchy pair of black trousers. She paired the statement pants with a classic light gray knit sweater with a red-and-cream pattern across the chest and shoulders, and finished the look with a brown leather cross-body bag.Back in June, the actress talked to BAZAAR.com about curating her sense of style, both on and off set.""I directed two films back-to-back this year, and I did the costumes as well, which made me appreciate my friends who are costume designers and all the costume designers I've worked with in the past,"" Holmes said of her work on Rare Objects and a still-untitled romance movie based in Connecticut. ""It made me appreciate silhouettes and cuts and color in a way I thought I had, but when you put it on camera, when you are trying to tell a story, you can see how clothing can do a lot of the work for you.""Of her personal wardrobe, she added, ""I love my T-shirts, and I love my vintage T-shirts. They're so yummy. They're a little dirty, a little stained or whatever, and that's me.""Chelsey SanchezDigital Associate EditorAs an associate editor at HarpersBAZAAR.com, Chelsey keeps a finger on the pulse on all things celeb news. She also writes on social movements, connecting with activists leading the fight on workers' rights, climate justice, and more. Offline, she’s probably spending too much time on TikTok, rewatching Emma (the 2020 version, of course), or buying yet another corset."
10 Winter 2022 Bag Trends to Start Shopping Now,"Starling, known for its sustainable mission and ethically sourced jewelry, is collaborating with creative director and fashion designer Carly Cushnie. The designer partnered with Starling's founder, Chelsey Bartrum, to design a handmade, 14-karat gold capsule collection featuring aquamarines and diamonds. The name of the collection, Where the Ocean Meets the Sky, was inspired, as Cushnie tells BAZAAR.com, by ""a hopeful horizon, which is the mixing of Eastern and Western coasts and cultures.""Bartrum on the left, Cushnie on the right, both wearing the collection.Ashley Randall PhotographyThe soothing blend of aquamarines and diamonds was the basis of the collection's inception. As Bartrum explains, there is a strong ""juxtaposition of the watery, soft aquamarine and the fiery strong diamond. More From Harper's BAZAARThe designer continues, ""Aquamarine means, 'water of the sea,' in Latin, and the word for diamond … stems from 'unbreakable' in Greek. By combining these stones and making a myriad of blues, silvers, and golds, the collection embodies strength and softness as one.""Ashley Randall PhotographyHorizon Eye Pendant - Carly Cushnie for StarlingHorizon Eye Pendant - Carly Cushnie for Starling$2,980 at starlingjewelry.comThe results are both beautiful and meaningful. The Horizon Eye Pendant, according to Starling's website, ""represents dreams, opportunities, and adventures. The evil eye is an ancient symbol meant to protect the wearer from evil spirits."" The inspiration behind each piece was delicately thought through; as Cushnie says, ""All of these pieces were purposely created to be beautifully worn, while also sending a message.""Both Cushnie and Bartrum sought out to create a collection that goes deeper than jewelry. As Bartrum explains, ""We wanted to thoughtfully design each piece in the collection in order to represent modern interpretations of shapes like the evil eye and the fan that symbolize the things we want to manifest in our own lives, including protection, wisdom, femininity, authority, and happiness."" Get in on the magic, as the collection is live now online at starling.com.Ocean Fan Necklace - Carly Cushnie for Starling$690 at starlingjewelry.comOcean Drop Earrings - Carly Cushnie for Starling$270 at starlingjewelry.comCoast Ring - Carly Cushnie for Starling$1,160 at starlingjewelry.comOcean Fan Earrings - Carly Cushnie for Starling$740 at starlingjewelry.comMelody LeibnerMelody Leibner is the Digital Editorial Intern forBAZAAR.com, where she covers e-commerce and shopping, fashion and celebrity news, and all things pop culture."
The 10 Winter Nail Trends We Can't Wait to Wear,"Rihanna brought her enviable date night style to Miami.The superstar has spent the past few days attending Art Basel, and she was spotted enjoying a romantic dinner with her boyfriend A$AP Rocky during the final night of the event. The couple were photographed outside of Carbone in South Beach, where the ""Lift Me Up"" singer wore a stylish spin on body jewelry.Her outfit was comprised of a strapless maxi-length gown made of gauzy sheer fabric, worn with matching black underwear, and strappy black stilletos. She paired the minimalist look with bold accessories, wearing several extra-long gold chains that draped over one shoulder and trailed down to her hip. She also carried a vintage Fendi Baguette bag in a patterned brown python design.As for her beauty look, the ""Umbrella"" singer wore her hair in long romantic waves, paired with bright aquamarine eyeshadow and a bronze metallic lip.305pics//Getty ImagesMeanwhile, Rocky wore a blue and white pinstripe shirt open with a plain white t-shirt underneath, along with gray striped pants, black shoes, and a gray logo beanie from Gucci. He accessorized the look with diamond spike earrings and a diamond choker.The Fenty mogul also stepped out for the first night of the art fair, where she shone in head-to-toe crystals while supporting Rocky at his performance. She wore Khaite's shimmering Argo top with crystals from the spring 2023 collection, paired with matching bedazzled joggers, and the brand's medium Olivia hobo bag in black with clear losange crystals. She finished the look with silver sandals, a diamond necklace, and large black sunglasses.Johnny Nunez//Getty ImagesQuinci LeGardyeQuinci LeGardye is an LA-based freelance writer who covers culture, politics, and mental health through a Black feminist lens. When she isn’t writing or checking Twitter, she’s probably watching the latest K-drama or giving a concert performance in her car."
Mariah Carey’s Butterfly Jewelry “Is a Major Moment”,"Usually, when Phoebe Bridgers talks about the moon, she's singing to a group of crying fans (I am, admittedly, one of them) who are mouthing the words to her ""Moon Song."" But last week, she could be found talking about astronomy in a not-heart-wrenching context—while wearing Chanel jewelry inspired by the stars. Standing underneath a crescent moon on a stage in Los Angeles, she introduced the Yeah Yeah Yeahs, who were performing for Chanel’s guests at a dinner celebrating the launch of the 1932 jewelry collection, which is the second one ever released by the brand. The crowd cheered, but the 18-karat Coco Crush earrings and bracelet adorning Bridgers’s earlobes and wrist were beautiful enough that they could have elicited tears (of jealousy). Phoebe Bridgers at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinIt has been 90 years since Gabrielle Chanel designed Bijoux de Diamants, the first high jewelry collection in history. It was created three years after Black Thursday pushed the world into the Great Depression, and Chanel was determined to create something that could shine through the turmoil. The 50-piece collection was made of white and yellow diamonds set in platinum and yellow gold, with 22 pieces inspired by specific constellations. “Nothing could be better for forgetting the crisis than feasting one’s eyes on beautiful new things,” she said of the collection. And so it feels fitting that in 2022, nearly three years after the entire world stood still for the pandemic, the fashion house she built would respond to our somber times with something just as sumptuous.More From Harper's BAZAARThe Yeah Yeah Yeahs performing at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinLike the original Bijoux de Diamants collection, the design of 1932 is harmonized around three symbols: the comet, the moon, and the sun. Chanel muses like Marion Cotillard, Lori Harvey, Greta Lee, and Whitney Peak were in attendance at the West Hollywood celebration, and, like Bridgers, were also layered in pieces from the 1932 collection named after the cosmos. Maggie Rogers at the Chanel dinner to celebrate the 1932 high jewelry collection. Pat MartinSinger Maggie Rogers, who also recently graduated from Harvard’s Divinity School, wore five rings from the collection but said the shooting star Comète ear cuff in 18-karat gold was her favorite. On the Chanel black carpet, Rogers mentioned how she felt a kinship with Gabrielle over her affinity for outer space: “[The cosmos] is something that has always resonated with me and is very apparent and present in my musical work.” Gossip Girl’s Whitney Peak said the collection made her feel like a “superstar” before joking, “I feel like I shouldn’t be wearing it. I don’t know how they let me get away with this!” and then grasping the 1932 Comète Couture necklace in 18-karat gold and diamonds around her neck. Whitney Peak at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinWhile there are 77 pieces in the collection, its signature piece is the Allure Céleste necklace, with round-cut diamonds, an oval sapphire of deep blue, and a weight of 55.5 carats. What makes it extraordinary is its ability to transform: The halos detach to become brooches, and the central row of diamonds becomes a bracelet, converting the necklace into a shorter version. Thirteen other pieces from the 1932 collection also have the ability to transform in a similar manner, allowing the wearer to make new diamond constellations around their wrists and necks.Guests dining at the Chanel dinner to celebrate the 1932 high jewelry collection.Pat MartinMany of the pieces were made without clasps, something Gabrielle Chanel openly disliked. “I detest clasps! I’ve done away with clasps! Yet my jewelry is transformable,” she said in an interview in 1932 after the “Bijoux de Diamants” exhibition. She strived to design pieces that offered flexibility to busy women with full lives, and that didn’t impede their freedom. And as the jewelry-spangled guests left their cares behind to dance under a canopy of baby’s breath, it was evident that the new 1932 collection stays true to her vision.Tara GonzalezTara Gonzalez is the Senior Fashion Editor at Harper’s Bazaar. Previously, she was the style writer at InStyle, founding commerce editor at Glamour, and fashion editor at Coveteur."
The 19 Best Ballet Flats That Transcend Shoe Trends,"Prada has never done things by the book. The brand has been creating the world's most desirable fashion pieces since their start over one hundred years ago, going from making humble leather goods to being one of the biggest privately owned brands in the world. Now, the brand is expanding on their aesthetic universe with a daring introduction into fine jewelry. The inaugural collection, titled ETERNAL GOLD, marks both a commitment to beauty and to sustainable, circular fashion.Maya Hawke for ETERNAL GOLDDavid SimsAs Prada's first-ever fine jewelry offering, ETERNAL GOLD is a first in many aspects. It's also the world's first fine jewelry collection made entirely with recycled gold, collected using the industry's most rigorous standards set by the Responsible Jewelry Council. Prada is also the first company to expand on diamond traceability, making every single carat count traceable down to its origins. The complete transparency of every material used in their jewelry, from sourcing to cutting to setting, is a radical step in the direction of honest production for an otherwise murky process. Somi Jeon for ETERNAL GOLDDavid SimsThe jewelry is a reflection of Prada's impact on the industry and a continuation of their efforts to creating beautiful objects that stands the test of time, as all fine jewelry should. ETERNAL GOLD is rife with Pradaisms, with the instantly recognizable Prada triangle rendered as sleek earrings and pendants, but also imbued in clasp closures, and more subtly, in chain links and as the head and tail of the snake bracelet.  The snake bracelet itself may at first recall other serpent bracelets, but finds its own voice with the sneaky Prada triangle and smooth, unvarnished gold. Heart pendants take on an edgy effect with the triangle chainlink it sits on.More From Harper's BAZAARCourtesyCourtesyPrada chose three voices of our time to don this foundational collection, representing where Prada is now and where it can go. Amanda Gorman, award-winning poet and activist, Maya Hawke, singer/songwriter, actress, and model, and Somi Jeon, musician, become one with the gold, immortalized in gold negative renderings by David Sims. The jewelry and its campaign represent the future of a wholly responsible planet that isn't sacrificing purity and beauty at its demise. The act of both looking good and doing good is something all brands should aim toward.From: ELLE USKevin LeBlancKevin LeBlanc is the Fashion Associate at ELLE Magazine. He covers fashion news, trends, and anything to do with Robyn Rihanna Fenty."
Katie Holmes Is Fully Embracing Fall's Latest Pants Trend,"If looking stylish in sneakers and your boyfriend's button-down is a skill set, Kaia Gerber is the master.Yesterday, the model was seen walking around Los Angeles looking comfortable in an effortlessly cool ensemble that brought to mind the now-viral coastal grandmother trend. The outfit consisted of an oversized striped gray button-down, a cropped white tank top, and loose-fitting black trousers. She finished the look with the black Adidas sneakers every model seems to be wearing, a green handbag, and brown oval sunglasses.Gerber wore no makeup and kept her straight her down for the outing.BACKGRIDWhen she's not looking glamorous on the Cannes Film Festival red carpet with boyfriend Austin Butler, Gerber is showing off her relaxed model-off-duty style on low-key dates.For a screening of Elvis in New York City this June, Gerber looked casual but chic in a navy top, black miniskirt, and matching leather blazer. She finished the look with a pair of high socks and white sneakers, and accessorized with her green shoulder bag and black Ray-Ban sunglasses. And on a lunch date with Butler this August, the model wore an open cobalt blue button-down over a cropped tank in the same hue, relaxed black trousers, and her go-to black Adidas sneakers. She accessorized with the same oval sunglasses and green handbag she carried yesterday, along with diamond stud earrings.This week, the stylish star released her own collection of wardrobe essentials with Zara (available to shop since October 4). The drop includes more than 30 pieces, including leather trenches, white tanks, and slouchy trousers—very on brand for Gerber.Now, the model is also stepping into acting. Earlier this year, she announced she landed a part in the Apple TV+ series Mrs. American Pie, which is set to be released later this year.  Rosa SanchezRosa Sanchez is the senior news editor at Harper's Bazaar, working on news as it relates to entertainment, fashion, and culture. Previously, she was a news editor at ABC News and, prior to that, a managing editor of celebrity news at American Media. She has also written features for Rolling Stone, Teen Vogue, Forbes, and The Hollywood Reporter, among other outlets."
